origem;destino;veiculo;custo;fluxo;caminho
14;3;10;inf;inf;{}
14;4;10;inf;inf;{}
14;5;10;inf;inf;{}
14;6;10;inf;inf;{}
14;7;10;inf;inf;{}
14;8;10;inf;inf;{}
14;9;10;inf;inf;{}
14;10;10;inf;inf;{}
14;11;10;inf;inf;{}
14;12;10;inf;inf;{}
14;13;10;inf;inf;{}
14;14;10;0;0;{}
14;15;10;inf;inf;{}
14;16;10;0.5459999999999999;8.5;{(14, 16): 0.5459999999999999}
14;17;10;0.1575;8.5;{(14, 16): 0.5459999999999999, (14, 17): 0.1575}
15;0;10;inf;inf;{}
15;1;10;inf;inf;{}
15;2;10;inf;inf;{}
15;3;10;inf;inf;{}
15;4;10;inf;inf;{}
15;5;10;inf;inf;{}
15;6;10;inf;inf;{}
15;7;10;inf;inf;{}
15;8;10;inf;inf;{}
15;9;10;inf;inf;{}
15;10;10;inf;inf;{}
15;11;10;0.756;8.5;{(15, 11): 0.756}
15;12;10;inf;inf;{}
15;13;10;inf;inf;{}
15;14;10;inf;inf;{}
15;15;10;0;0;{}
15;16;10;inf;inf;{}
15;17;10;0.126;8.5;{(15, 11): 0.756, (15, 17): 0.126}
16;0;10;inf;inf;{}
16;1;10;inf;inf;{}
16;2;10;inf;inf;{}
16;3;10;inf;inf;{}
16;4;10;inf;inf;{}
16;5;10;inf;inf;{}
16;6;10;inf;inf;{}
16;7;10;inf;inf;{}
16;8;10;inf;inf;{}
16;9;10;inf;inf;{}
16;10;10;inf;inf;{}
16;11;10;inf;inf;{}
16;12;10;inf;inf;{}
16;13;10;inf;inf;{}
16;14;10;inf;inf;{}
16;15;10;inf;inf;{}
16;16;10;0;0;{}
16;17;10;inf;inf;{}
17;0;10;inf;inf;{}
17;1;10;inf;inf;{}
17;2;10;inf;inf;{}
17;3;10;inf;inf;{}
17;4;10;inf;inf;{}
17;5;10;inf;inf;{}
17;6;10;inf;inf;{}
17;7;10;inf;inf;{}
17;8;10;inf;inf;{}
17;9;10;inf;inf;{}
17;10;10;inf;inf;{}
17;11;10;inf;inf;{}
17;12;10;inf;inf;{}
17;13;10;inf;inf;{}
17;14;10;inf;inf;{}
17;15;10;inf;inf;{}
17;16;10;inf;inf;{}
17;17;10;0;0;{}
0;0;11;0;0;{}
0;1;11;0.27299999999999996;8.5;{(0, 1): 0.27299999999999996}
0;2;11;0.49349999999999994;17.0;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997}
0;3;11;0.5145;25.5;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021}
0;4;11;0.7874999999999999;34.0;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996}
